instance,edge_weight_type,mode,chosen_dim,natural_positive_dim,positive_mass_retained,threshold_met,negative_to_positive_eigenvalue_mass,classical_strain,normalized_distance_stress,distance_correlation
att48,ATT,positive-eigenvalue MDS,6,28,0.9991016933438477,True,0.001117474932182069,0.0002784044023461896,0.0006743708656657671,0.9999992470508631
att532,ATT,positive-eigenvalue MDS,100,274,0.9985744560518518,False,0.004339545642754797,0.00015374145873647612,0.004838558700130889,0.999978372085759
dsj1000,CEIL_2D,native coordinates; sampled CEIL rounding diagnostic,2,2,1.0,True,0.0,0.0,9.226191909931784e-07,0.9999999999994897
pla33810,CEIL_2D,native coordinates; sampled CEIL rounding diagnostic,2,2,1.0,True,0.0,0.0,1.8676870549909868e-06,0.9999999999976096
pla7397,CEIL_2D,native coordinates; sampled CEIL rounding diagnostic,2,2,1.0,True,0.0,0.0,1.3178032868256498e-06,0.9999999999990609
pla85900,CEIL_2D,native coordinates; sampled CEIL rounding diagnostic,2,2,1.0,True,0.0,0.0,1.5531160932382026e-06,0.9999999999983441
bayg29,EXPLICIT,positive-eigenvalue MDS,11,17,0.9991757788347295,True,0.005093501748579252,0.0005641396322803959,0.0041027770171093375,0.9999884709989167
fri26,EXPLICIT,positive-eigenvalue MDS,10,14,0.999107823348157,True,0.007606178080243773,0.0006388274107315688,0.007710065526191654,0.999959525122735
pa561,EXPLICIT,positive-eigenvalue MDS,100,270,0.9914221164325029,False,0.16116950440081124,0.001597013063881808,0.12083564305339287,0.9959758272904139
si1032,EXPLICIT,positive-eigenvalue MDS,100,945,0.9458053755928278,False,0.01030386197453178,0.004280538361898889,0.03567986602565408,0.9995368847408894
si175,EXPLICIT,positive-eigenvalue MDS,100,166,0.9663253976173178,False,0.003954082368197287,0.011388542213369079,0.019809558514365524,0.9994059018705672
si535,EXPLICIT,positive-eigenvalue MDS,100,510,0.9450792001156894,False,0.003095024417884736,0.0052090017064333844,0.0388244638587253,0.9994170406822482
swiss42,EXPLICIT,positive-eigenvalue MDS,15,22,0.999047932081632,True,0.01087304647121735,0.0005466502284216055,0.009801944142936482,0.9999379866464387
ali535,GEO,positive-eigenvalue MDS,31,286,0.9991153432766202,True,0.2440221073443912,0.00038818591743033015,0.18764648528023276,0.9813815326835968
burma14,GEO,positive-eigenvalue MDS,4,9,0.9992805692721276,True,0.0008009207144095825,0.0004528388941450055,0.0008274316018908134,0.9999984765963599
gr137,GEO,positive-eigenvalue MDS,5,71,0.9994660971212987,True,0.024700500663174047,0.00013344475444842372,0.022129841436175243,0.9994772361944
gr202,GEO,positive-eigenvalue MDS,27,106,0.9990138777767285,True,0.008773876212149982,0.0001886288925262157,0.005360452942599815,0.9999762925014513
gr229,GEO,positive-eigenvalue MDS,9,116,0.9990937341698091,True,0.13895529985669533,0.0004585790583435293,0.11769238528390945,0.9875543463819663
gr431,GEO,positive-eigenvalue MDS,14,218,0.9990765863864074,True,0.1481283961678468,0.000343984041218255,0.13389011108072596,0.9867758880479667
gr666,GEO,positive-eigenvalue MDS,61,337,0.9990450440957208,True,0.2949946283358064,0.00032799939751750767,0.23628993823793257,0.9694448673833206
gr96,GEO,positive-eigenvalue MDS,4,48,0.9991449486493502,True,0.025406867570059898,0.000538751457697299,0.01925630333679772,0.9995351293797373
ulysses16,GEO,positive-eigenvalue MDS,2,9,0.9990854225982734,True,0.0008733219657298116,0.0005374127011485029,0.0005072956341231982,0.9999997036431708
ulysses22,GEO,positive-eigenvalue MDS,3,12,0.9992890209439202,True,0.0010564998534689015,0.0003225876752057089,0.00047907896723334406,0.9999997061587687
