n_bucket,model,N,MAPE_pct,SDPE_pct,Median_abs_pct_err,R2,R2_alpha,time_ms
"[5,10]",GART 2.0,360,4.5287,5.5271,3.8025,0.9934,0.8461,131.6323
"[5,10]",MST Ratio,360,28.9497,9.9925,29.1657,0.7851,-4.7769,9.8448
"[5,10]",Cavdar,360,17.3744,14.2545,13.1771,0.9036,---,6.6738
"[5,10]",BHH,360,59.3183,9.7379,57.703,0.203,---,7.8086
"[5,10]",Chien,360,25.8131,7.2273,26.242,0.8421,---,1.1388
"[5,10]",Hilbert,360,8.3526,8.8441,5.7897,0.9653,---,3.6333
"[11,50]",GART 2.0,480,4.178,5.8659,2.7661,0.9937,0.7295,133.1036
"[11,50]",MST Ratio,480,15.1625,9.6613,13.6345,0.9492,-1.4611,15.2169
"[11,50]",Cavdar,480,12.7344,16.2812,8.4535,0.9429,---,8.8495
"[11,50]",BHH,480,28.3792,9.2811,27.6352,0.8168,---,8.9368
"[11,50]",Chien,480,19.6431,18.6755,17.8802,0.8884,---,1.2941
"[11,50]",Hilbert,480,27.1818,10.3726,26.9455,0.8043,---,3.0417
"[51,100]",GART 2.0,630,3.5706,5.5307,2.05,0.9949,0.6661,172.8237
"[51,100]",MST Ratio,630,11.4494,8.593,9.3427,0.9751,-1.0124,29.4151
"[51,100]",Cavdar,630,19.0742,29.3952,7.4481,0.8971,---,8.5877
"[51,100]",BHH,630,16.2218,13.0816,14.979,0.9118,---,11.0245
"[51,100]",Chien,630,23.3811,30.7384,16.6872,0.8533,---,0.5634
"[51,100]",Hilbert,630,34.2337,9.8165,34.0769,0.7339,---,3.8705
"[101,200]",GART 2.0,120,2.8637,5.0314,1.2953,0.9963,0.5598,196.1863
"[101,200]",MST Ratio,120,8.3124,7.0593,6.7154,0.9887,-0.7754,32.6786
"[101,200]",Cavdar,120,18.6954,41.0281,3.3582,0.9113,---,7.8604
"[101,200]",BHH,120,11.8202,20.2261,6.8498,0.946,---,10.1837
"[101,200]",Chien,120,25.7502,42.9367,15.2269,0.8525,---,0.3047
"[101,200]",Hilbert,120,36.6099,10.4834,36.4815,0.7172,---,7.3924
"[201,500]",GART 2.0,380,2.4773,4.2188,1.1402,0.9968,0.5637,214.9528
"[201,500]",MST Ratio,380,7.1858,6.0442,5.9444,0.9917,-0.8569,82.9184
"[201,500]",Cavdar,380,26.1071,55.6041,3.2124,0.8666,---,14.2915
"[201,500]",BHH,380,15.3479,32.0465,4.2645,0.9275,---,9.7158
"[201,500]",Chien,380,30.8955,56.0306,14.4866,0.8231,---,5.7372
"[201,500]",Hilbert,380,38.5894,9.9393,38.211,0.7171,---,38.9699
"[501,1000]",GART 2.0,610,1.9211,3.1596,0.9492,0.997,0.5496,423.6938
"[501,1000]",MST Ratio,610,5.7081,4.5415,4.9962,0.9939,-0.9939,236.7101
"[501,1000]",Cavdar,610,23.9316,58.5396,3.3864,0.8721,---,25.2891
"[501,1000]",BHH,610,14.7492,33.6427,5.0752,0.9312,---,15.9098
"[501,1000]",Chien,610,29.9042,59.3436,14.0684,0.8234,---,14.0158
"[501,1000]",Hilbert,610,38.2388,11.1718,38.2056,0.7278,---,93.8673
ALL,GART 2.0,2580,3.2334,4.9427,1.7312,0.9976,0.8608,226.2922
ALL,MST Ratio,2580,12.4508,11.0557,8.1648,0.9923,-0.7664,81.0866
ALL,Cavdar,2580,19.8242,42.0362,6.1303,0.9089,---,13.1244
ALL,BHH,2580,23.8155,32.0467,15.5523,0.9429,---,11.1106
ALL,Chien,2580,25.7843,42.5545,17.2464,0.8738,---,4.7102
ALL,Hilbert,2580,31.0094,14.2358,34.9942,0.8009,---,30.295
