n_bucket,model,N,MAPE_pct,SDPE_pct,Median_abs_pct_err,R2,R2_alpha,time_ms
"[5,10]",GART 2.0,4227,1.3579,1.9041,0.9923,0.9999,0.9428,211.3022
"[5,10]",MST Ratio,4227,18.8898,5.4419,17.8942,0.966,-4.6314,13.3228
"[5,10]",Hilbert,4227,8.1095,7.4485,5.7462,0.9946,---,31.2599
"[11,50]",GART 2.0,2816,0.8828,1.1674,0.7261,0.9999,0.9276,234.8115
"[11,50]",MST Ratio,2816,7.4533,2.8919,6.9399,0.9965,-2.0766,34.4909
"[11,50]",Hilbert,2816,19.5941,12.3516,15.5963,0.9807,---,75.6677
"[51,100]",GART 2.0,3522,0.6573,0.7857,0.5834,0.9999,0.9497,271.3796
"[51,100]",MST Ratio,3522,5.3343,2.1262,4.8,0.9982,-1.3706,56.8072
"[51,100]",Hilbert,3522,24.3816,14.1008,20.1787,0.9729,---,146.5064
"[101,200]",GART 2.0,703,0.5454,0.6312,0.4712,0.9999,0.9580,338.4553
"[101,200]",MST Ratio,703,4.4376,1.7394,4.1173,0.9987,-1.1029,94.9876
"[101,200]",Hilbert,703,27.0315,13.6124,23.4004,0.9654,---,310.8952
"[201,500]",GART 2.0,2115,0.501,0.5552,0.3875,0.9999,0.9563,388.4966
"[201,500]",MST Ratio,2115,4.0632,1.5051,3.8022,0.999,-1.0970,151.781
"[201,500]",Hilbert,2115,28.2638,12.7536,26.2193,0.9596,---,477.2568
"[501,1000]",GART 2.0,3524,0.485,0.5451,0.3069,0.9998,0.9487,570.169
"[501,1000]",MST Ratio,3524,3.8184,1.3183,3.6289,0.9991,-1.1340,425.5504
"[501,1000]",Hilbert,3524,29.9703,12.7679,28.7102,0.9534,---,2055.839
ALL,GART 2.0,16907,0.8099,1.1747,0.6327,0.9999,0.9780,329.9866
ALL,MST Ratio,16907,8.564,6.8907,5.6117,0.9992,-0.8342,132.5457
ALL,Hilbert,16907,21.2766,14.5518,16.2224,0.9621,---,552.0758
