dataset,model,pct_features,pct_mst,pct_inference,pct_other,avg_total_ms,N
2D,GART 2.0,64.04,,35.96,0.0,226.2922,2580
2D,MST Ratio,50.0,,50.0,0.0,81.0866,2580
2D,Cavdar,50.0,,50.0,0.0,13.1244,2580
2D,BHH,50.0,,50.0,0.0,11.1106,2580
2D,Chien,50.0,,50.0,-0.0,4.7102,2580
2D,Hilbert,50.0,,50.0,0.0,30.295,2580
ND,GART 2.0,62.0,,38.0,0.0,329.9866,16907
ND,MST Ratio,50.0,,50.0,0.0,132.5457,16907
ND,Hilbert,50.0,,50.0,0.0,552.0758,16907
TSPLIB,GART 2.0,74.75,,25.03,0.22,36.6674,78
TSPLIB,MST Ratio,99.82,,0.0,0.18,170.5985,78
TSPLIB,Cavdar,99.5,,0.0,0.5,1.7435,78
TSPLIB,BHH,99.78,,0.0,0.22,1.8887,78
TSPLIB,Chien,99.3,,0.0,0.7,0.9183,78
TSPLIB,Hilbert,99.43,,0.0,0.57,17.4932,78
