population,instance,n,dimension,rho_nominal,rho_measured,kurtosis,alpha,large_n
benchmark,TSP-line_noise-n10-g1000-1,10,2,,0.5958506443153637,2.733620020982739,1.8978619397668937,False
benchmark,TSP-line_noise-n10-g1000-2,10,2,,0.16348492112828622,2.032375678361105,1.8722026564506835,False
benchmark,TSP-line_noise-n10-g1000-3,10,2,,0.8562437802677133,1.6526682427965274,1.8358507802226016,False
benchmark,TSP-line_noise-n10-g1000-4,10,2,,0.6820146508226264,2.0322487862874397,1.8549266266272952,False
benchmark,TSP-line_noise-n10-g1000-5,10,2,,0.4948591686076527,1.8778558987424745,1.8809265416139875,False
benchmark,TSP-line_noise-n10-g10000-1,10,2,,0.18532309943396333,2.4333846505745735,1.9174825983892816,False
benchmark,TSP-line_noise-n10-g10000-2,10,2,,0.6186062317373761,1.8003990792203497,1.873216182489566,False
benchmark,TSP-line_noise-n10-g10000-3,10,2,,1.0226619582248768,1.8936092216793454,1.7567553008220498,False
benchmark,TSP-line_noise-n10-g10000-4,10,2,,0.5595372734571311,3.385231865103509,1.887091560074498,False
benchmark,TSP-line_noise-n10-g10000-5,10,2,,0.5674056224458925,1.4881154369004994,1.8912328301405072,False
benchmark,TSP-line_noise-n100-g1000-1,100,2,,7.451841542394293,2.0723762475449603,1.6561953428708225,False
benchmark,TSP-line_noise-n100-g1000-2,100,2,,9.38832888948867,2.279229165598432,1.725038477544474,False
benchmark,TSP-line_noise-n100-g1000-3,100,2,,3.6465785621982367,3.5151590581723915,1.4431406695730398,False
benchmark,TSP-line_noise-n100-g1000-4,100,2,,2.7623646927372913,3.284217023734479,1.5089913475453502,False
benchmark,TSP-line_noise-n100-g1000-5,100,2,,1.8948847968988882,3.7674690692896804,1.3124157001611396,False
benchmark,TSP-line_noise-n100-g10000-1,100,2,,7.5925360115747935,2.2408156330971467,1.643626508327859,False
benchmark,TSP-line_noise-n100-g10000-2,100,2,,4.861878952967957,2.250411407150756,1.6215966470757457,False
benchmark,TSP-line_noise-n100-g10000-3,100,2,,1.2631031314975865,2.8135056452310634,1.3770996007417733,False
benchmark,TSP-line_noise-n100-g10000-4,100,2,,6.171450597271589,2.317982469060721,1.619776165690615,False
benchmark,TSP-line_noise-n100-g10000-5,100,2,,8.215685136618543,2.6109065432696,1.7028183251740847,False
benchmark,TSP-line_noise-n1000-g1000-1,1000,2,,15.389255224574585,3.0042498016401975,1.1402625524329963,True
benchmark,TSP-line_noise-n1000-g1000-2,1000,2,,38.5717191823258,2.989191606441087,1.2229916392642934,True
benchmark,TSP-line_noise-n1000-g1000-3,1000,2,,70.56134394086912,1.8861679495316979,1.297736105903114,True
benchmark,TSP-line_noise-n1000-g1000-4,1000,2,,60.1184530583834,2.5536712992146673,1.2080898676756848,True
benchmark,TSP-line_noise-n1000-g1000-5,1000,2,,33.59525212371177,3.987788986633529,1.1807607465597882,True
benchmark,TSP-line_noise-n1000-g10000-1,1000,2,,65.83286334467408,1.8029520846918756,1.2967047362693338,True
benchmark,TSP-line_noise-n1000-g10000-2,1000,2,,85.30334030394438,2.1583886051159444,1.2921319115376635,True
benchmark,TSP-line_noise-n1000-g10000-3,1000,2,,96.41081500902871,1.8426902071234952,1.290273420975593,True
benchmark,TSP-line_noise-n1000-g10000-4,1000,2,,52.83798746410994,2.1175094221436046,1.2782015155609467,True
benchmark,TSP-line_noise-n1000-g10000-5,1000,2,,84.31698924525506,2.108077329897045,1.287501207738445,True
benchmark,TSP-line_noise-n20-g1000-1,20,2,,1.693913179834204,2.567928484758234,1.7870690181660334,False
benchmark,TSP-line_noise-n20-g1000-2,20,2,,1.3661127857870552,2.573247752437112,1.7498789716215537,False
benchmark,TSP-line_noise-n20-g1000-3,20,2,,1.651995123852566,1.6181916266137186,1.84971541929905,False
benchmark,TSP-line_noise-n20-g1000-4,20,2,,0.315318861571453,3.403651003068464,1.8122300694843645,False
benchmark,TSP-line_noise-n20-g1000-5,20,2,,1.209463004609114,2.885890279096985,1.811998198350337,False
benchmark,TSP-line_noise-n20-g10000-1,20,2,,1.225294570913787,2.3130464052025257,1.812605859571169,False
benchmark,TSP-line_noise-n20-g10000-2,20,2,,1.1625667287503396,1.8306269592471307,1.81171543481392,False
benchmark,TSP-line_noise-n20-g10000-3,20,2,,1.172967699051812,2.200904012446975,1.8246470432079205,False
benchmark,TSP-line_noise-n20-g10000-4,20,2,,1.3788465920542012,2.375709863349067,1.821315539220441,False
benchmark,TSP-line_noise-n20-g10000-5,20,2,,2.2791408605512125,1.915885801779728,1.7864813253834344,False
benchmark,TSP-line_noise-n200-g1000-1,200,2,,15.66909681170292,2.072126596811322,1.6393936676179135,True
benchmark,TSP-line_noise-n200-g1000-2,200,2,,4.86871878521204,3.926913867672961,1.2634713354658462,True
benchmark,TSP-line_noise-n200-g1000-3,200,2,,13.530512773926214,1.9813369974167347,1.5561670974243875,True
benchmark,TSP-line_noise-n200-g1000-4,200,2,,21.779047856761228,1.9355087210829645,1.621232513358957,True
benchmark,TSP-line_noise-n200-g1000-5,200,2,,14.124512912784082,2.1442006309308415,1.5258187409076092,True
benchmark,TSP-line_noise-n200-g10000-1,200,2,,16.913410482566597,2.2340753136021063,1.5080582326622594,True
