dataset,model,status,n_rows,status_kept,n_used
2D,Asymptotic_MST,ok,2580,True,2580
2D,BHH,ok,2580,True,2580
2D,BHH_region,ok,2580,True,2580
2D,Calibrated_MST_d,ok,2580,True,2580
2D,Calibrated_MST_dn,ok,2580,True,2580
2D,Cavdar,ok,2580,True,2580
2D,GART,ok,2580,True,2580
2D,GART_2.0,ok,2580,True,2580
2D,Hilbert,ok,2580,True,2580
2D,Interp_V3,ok,2580,True,2580
2D,LGBM_V3,ok,2580,True,2580
2D,LGBM_V4,ok,2580,True,2580
2D,Linear_V3,ok,2580,True,2580
2D,MST_Only,ok,2580,True,2580
2D,MST_Ratio,ok,2580,True,2580
2D,NN_V3,ok,2580,True,2580
ND,Asymptotic_MST,asymptotic_rho_undefined,16199,False,647
ND,Asymptotic_MST,ok,647,True,647
ND,Asymptotic_MST,quarantined_label_unrecoverable,74,False,647
ND,BHH,ok,16846,True,16846
ND,BHH,quarantined_label_unrecoverable,74,False,16846
ND,BHH_region,ok,16846,True,16846
ND,BHH_region,quarantined_label_unrecoverable,74,False,16846
ND,Calibrated_MST_d,ok,16846,True,16846
ND,Calibrated_MST_d,quarantined_label_unrecoverable,74,False,16846
ND,Calibrated_MST_dn,ok,16846,True,16846
ND,Calibrated_MST_dn,quarantined_label_unrecoverable,74,False,16846
ND,GART_2.0,ok,16846,True,16846
ND,GART_2.0,quarantined_label_unrecoverable,74,False,16846
ND,Hilbert,ok,16846,True,16846
ND,Hilbert,quarantined_label_unrecoverable,74,False,16846
ND,Interp_V3,ok,16920,True,16846
ND,LGBM_V3,ok,16846,True,16846
ND,LGBM_V3,quarantined_label_unrecoverable,74,False,16846
ND,LGBM_V4,ok,16846,True,16846
ND,LGBM_V4,quarantined_label_unrecoverable,74,False,16846
ND,Linear_V3,ok,16846,True,16846
ND,Linear_V3,quarantined_label_unrecoverable,74,False,16846
ND,MST_Only,ok,16846,True,16846
ND,MST_Only,quarantined_label_unrecoverable,74,False,16846
ND,MST_Ratio,ok,16846,True,16846
ND,MST_Ratio,quarantined_label_unrecoverable,74,False,16846
ND,NN_V3,ok,16846,True,16846
ND,NN_V3,quarantined_label_unrecoverable,74,False,16846
TSPLIB,Asymptotic_MST,academic_non_2d,29,False,82
TSPLIB,Asymptotic_MST,ok,82,True,82
TSPLIB,BHH,academic_non_2d,29,False,82
TSPLIB,BHH,ok,82,True,82
TSPLIB,Calibrated_MST_d,academic_non_2d,29,False,82
TSPLIB,Calibrated_MST_d,ok,82,True,82
TSPLIB,Calibrated_MST_dn,academic_non_2d,29,False,82
TSPLIB,Calibrated_MST_dn,ok,82,True,82
TSPLIB,Cavdar,academic_non_2d,29,False,82
TSPLIB,Cavdar,ok,82,True,82
TSPLIB,Fixed_Alpha,ok,111,True,111
TSPLIB,GART_1.0,gart1_only_2d,29,False,82
TSPLIB,GART_1.0,ok,82,True,82
TSPLIB,GART_2.0,greedy_ratio_out_of_range:1.0260,1,False,109
TSPLIB,GART_2.0,greedy_ratio_out_of_range:2.7651,1,False,109
TSPLIB,GART_2.0,ok,109,True,109
TSPLIB,Hilbert,academic_non_2d,29,False,82
TSPLIB,Hilbert,ok,82,True,82
TSPLIB,Interp_V3,no_hybrid_path,29,False,82
TSPLIB,Interp_V3,ok,82,True,82
TSPLIB,LGBM_V3,ok,111,True,111
TSPLIB,LGBM_V4,greedy_ratio_out_of_range:1.0260,1,False,109
TSPLIB,LGBM_V4,greedy_ratio_out_of_range:2.7651,1,False,109
TSPLIB,LGBM_V4,ok,109,True,109
TSPLIB,Linear_V3,no_hybrid_path,29,False,82
TSPLIB,Linear_V3,ok,82,True,82
TSPLIB,MST_Only,academic_non_2d,29,False,82
TSPLIB,MST_Only,ok,82,True,82
TSPLIB,MST_Ratio,academic_non_2d,29,False,82
TSPLIB,MST_Ratio,ok,82,True,82
TSPLIB,NN_V3,exception:AttributeError,29,False,82
TSPLIB,NN_V3,ok,82,True,82
