level,family,group,n_features,mean_abs_shap,share_pct
family,mst_topology,mst,9,0.50604230467541,46.833957428053985
family,greedy_ratio,greedy,1,0.25775667422220794,23.855248851304715
family,size_dimension,geometric,2,0.15269954157141014,14.132264759615254
family,bounding_hypervolume,geometric,2,0.07734632754097637,7.158363199681379
family,mst_edge,mst,10,0.04128184789114675,3.820613985871201
family,centroid,geometric,4,0.03244066488620303,3.002367004064486
family,shape,geometric,1,0.006833836300763586,0.6324680672410274
family,node_density,geometric,2,0.00610178080519568,0.5647167041679506
group,mst,mst,19,0.5473241525665568,50.65457141392518
group,geometric,geometric,11,0.2754221511045488,25.490179734770095
group,greedy,greedy,1,0.25775667422220794,23.855248851304715
