rank,feature,family,group,mean_abs_shap,share_pct,cum_share_pct
1,mst_dominance_ratio,mst_topology,mst,0.2865558429696716,26.520597243366925,26.520597243366925
2,greedy_nn_over_mst,greedy_ratio,greedy,0.25775667422220794,23.855248851304715,50.375846094671644
3,n_customers,size_dimension,geometric,0.09215663085992218,8.529049224797372,58.90489531946902
4,mst_diameter_normalized,mst_topology,mst,0.08864714182682712,8.20424780315413,67.10914312262315
5,dimension,size_dimension,geometric,0.06054291071148794,5.60321553481788,72.71235865744103
6,log_bounding_hypervolume,bounding_hypervolume,geometric,0.05128483962753973,4.746385773737634,77.45874443117866
7,mst_degree_mean,mst_topology,mst,0.04144019893926319,3.835269294681657,81.29401372586031
8,bounding_hypervolume,bounding_hypervolume,geometric,0.026061487913436644,2.411977425943744,83.70599115180406
9,mst_gap_ratio,mst_topology,mst,0.019535482110695723,1.8079989144300732,85.51399006623413
10,centroid_dist_std,centroid,geometric,0.019296347681383476,1.7858671448556391,87.29985721108977
11,large_edge_count,mst_topology,mst,0.018344016610634024,1.6977293895478067,88.99758660063758
12,mst_leaf_ratio,mst_topology,mst,0.017882920872561953,1.6550552139549655,90.65264181459254
13,mst_diameter,mst_topology,mst,0.015377105896184767,1.423143314807511,92.07578512940005
14,mst_degree_std,mst_topology,mst,0.011911035306431662,1.102360247970342,93.17814537737038
15,mst_edge_skew,mst_edge,mst,0.00694361960808189,0.6426284563898248,93.82077383376021
16,aspect_ratio,shape,geometric,0.006833836300763586,0.6324680672410274,94.45324190100123
17,mst_degree_max,mst_topology,mst,0.006348560143139894,0.5875560061405715,95.04079790714181
18,centroid_dist_mean,centroid,geometric,0.005947033490293708,0.5503949190300987,95.5911928261719
19,mst_edge_std,mst_edge,mst,0.005099020757489617,0.47191177274044344,96.06310459891235
20,centroid_dist_iqr,centroid,geometric,0.0045885492147305735,0.42466789158480567,96.48777249049715
21,mst_edge_q25,mst_edge,mst,0.004535694527423885,0.4197762172083277,96.90754870770547
22,mst_edge_max,mst_edge,mst,0.004488351844921085,0.4153946760676355,97.32294338377311
23,mst_edge_kurtosis,mst_edge,mst,0.004377297348986739,0.4051166390601974,97.7280600228333
24,mst_edge_q75,mst_edge,mst,0.003866800276925273,0.3578703951806297,98.08593041801393
25,node_density,node_density,geometric,0.0035277747806931907,0.32649375826537663,98.4124241762793
26,mst_edge_q90,mst_edge,mst,0.0035141943327361234,0.3252368947272913,98.7376610710066
27,mst_edge_mean,mst_edge,mst,0.002920576551460791,0.2702978715667327,99.00795894257332
28,mst_edge_q50,mst_edge,mst,0.002863811557869493,0.26504430033623283,99.27300324290955
29,mst_edge_q10,mst_edge,mst,0.0026724810852518507,0.24733676259388573,99.52034000550344
30,centroid_dist_max,centroid,geometric,0.002608734499795274,0.24143704859394238,99.76177705409738
31,log_node_density,node_density,geometric,0.0025740060245024897,0.23822294590257403,99.99999999999996
