table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
2d_by_genclass,Isotropic,isotropic,840,GART_2.0,GART 2.0,840,2.228260800945414,2.0243907267086425,2.435116427762622,1.4712141440975832,0.9098679317631571,0.13278220766260015,2.23088915533064,0.9998395222918042,0.9535621624529174,108.34609999437815
2d_by_genclass,Isotropic,isotropic,840,GART,GART 1.0,840,5.176482927181829,4.941157379296996,5.430457938954604,5.379890979609513,5.292409824891747,3.8196712808579183,6.4307047995058735,0.9922475542870753,0.7013244083424133,49.455050000688004
2d_by_genclass,Isotropic,isotropic,840,MST_Ratio,Fixed MST scaling,840,8.378652449332657,7.76028707441791,8.95989236440849,10.936187308050135,8.102988814915243,-10.936187308050135,13.773831569754185,0.9938695606675614,-1.0650364863888622,19.01000000361815
2d_by_genclass,Isotropic,isotropic,840,Hilbert,Custom Hilbert sort,840,11.503494897705941,10.8420347083423,12.159588909733642,30.782498161770317,35.071428795629366,30.782497998195634,32.85932199066357,0.768703985721685,---,0.70959998993195
2d_by_genclass,Isotropic,isotropic,840,Linear_V3,Linear (28-feature block),840,4.756618744688486,4.362270591407222,5.126991392833436,3.3476329849476043,2.459476193177557,0.07238163147482855,4.754337593907951,0.9973377334853387,0.7556416847871733,66.52029999531806
2d_by_genclass,Isotropic,isotropic,840,NN_V3,Neural net (30-feature block),840,3.173389940094108,2.8234670750954214,3.53122019954598,1.8996498928376975,1.013793421218407,0.042480592710085016,3.171784944916663,0.9997845068861656,0.8981173337164557,146.24624997668428
2d_by_genclass,Isotropic,isotropic,840,BHH,BHH,840,19.449558690965844,18.43033673597053,20.40513166764112,19.042846196469586,14.05950611837812,-17.877290371086232,26.408947434590978,0.9880979217961315,---,6.54525001300495
2d_by_genclass,Isotropic,isotropic,840,Cavdar,Cavdar--Sokol,840,15.521867524050034,14.259399369961821,16.665905036820227,9.398085319167615,4.362130534371486,-4.345332516383332,16.109732046880698,0.9956818162129351,---,5.88370001059955
2d_by_genclass,Isotropic,isotropic,840,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,840,9.828635586435025,9.052891804735339,10.493604888972774,9.27414319195275,9.584218508367757,4.476914895473892,10.794898887856684,0.9774044439607805,-0.08483199741375724,24.328599974978648
2d_by_genclass,Isotropic,isotropic,840,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",840,5.105977117235923,4.651931343462393,5.529135414644317,3.311371232297594,1.8945457702158777,0.3788081902832055,5.116977727060831,0.9993307515282842,0.7441182383822229,25.4301000095438
