table,panel,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
classical,A,Full 2D benchmark,a_2d,2580,BHH,BHH,2580,31.998397751732405,29.996960265367722,33.972260847266945,23.7967827636281,15.533846570935975,-13.71091210391854,34.80646074968476,0.942849588513623,---,6.52770002488975
classical,A,Full 2D benchmark,a_2d,2580,Cavdar,Cavdar--Sokol,2580,34.61315472930805,31.958721142054863,37.116742023234465,18.235581796337677,6.630406845115656,-0.9648524585735584,34.619893878789014,0.9429499159977557,---,6.1198000039439
classical,A,Full 2D benchmark,a_2d,2580,GART_2.0,GART 2.0,2580,4.683987153241219,4.423705891908221,4.923058086306723,2.8891673265918123,1.4892998175487941,-0.09514114239019135,4.6840456568222795,0.9982419551811427,0.8670831990700896,112.5369500077795
classical,A,Full 2D benchmark,a_2d,2580,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",2580,9.382227953647215,8.960452341554898,9.77522900600758,5.762351506395059,2.3110784687721644,-0.7473965903932026,9.410137318595698,0.9945432104409707,0.46225512819684944,25.0353000010363
classical,A,TSPLIB EUC\_2D,a_tsplib,78,BHH,BHH,78,40.75130709172121,26.251278883952924,53.60549833968856,25.135715847941245,13.407682378836927,13.65828814986198,42.730869828295546,0.88041313126296,---,0.6453499954659
classical,A,TSPLIB EUC\_2D,a_tsplib,78,Cavdar,Cavdar--Sokol,78,36.33789028407107,24.37920438023403,48.39113639350611,23.870463539461433,11.315141014288969,20.06505002899153,41.30520252835019,0.8914727269645273,---,0.8800500072538
classical,A,TSPLIB EUC\_2D,a_tsplib,78,GART_2.0,GART 2.0,78,2.9199938811369544,2.4042336187255238,3.3755383264965917,2.5319540761511896,1.865230161303813,2.084238062658234,3.5722682157597796,0.9999921385835696,0.48366411952521093,6.12219999311485
classical,A,TSPLIB EUC\_2D,a_tsplib,78,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",78,4.476483611871477,3.590271724793119,5.316191057699265,3.7437932733110384,3.1810507540066735,1.1841439289378373,4.602628958168555,0.9999491397948098,0.08724084563343637,2.6207999617326503
classical,B,"2D \texttt{random} (uniform on $[0,G]^2$)\\ matched domain",b_random,210,GART_2.0,GART 2.0,210,2.065175075287745,1.6502845550195873,2.480371669511689,1.3135749408793385,0.7474100742710887,-0.012841981960110108,2.0602921471150126,0.9998743530997124,0.9587371200183784,105.5436999886296
classical,B,"2D \texttt{random} (uniform on $[0,G]^2$)\\ matched domain",b_random,210,GART,GART 1.0,210,4.956412910394134,4.528957843021319,5.35330138062924,5.752157971469608,6.048350825091058,4.69339159653042,6.817402183128228,0.9908575345571561,0.6669376659143184,48.6153000092599
classical,B,"2D \texttt{random} (uniform on $[0,G]^2$)\\ matched domain",b_random,210,BHH_region,BHH (sampling region),210,7.7558168912339935,6.386379871298317,8.984143697702997,8.914791345238562,6.7049672249893035,-8.651108372320563,11.606374555050627,0.9953346036483499,---,0.08379999781027436
classical,B,"2D \texttt{random} (uniform on $[0,G]^2$)\\ matched domain",b_random,210,Cavdar,Cavdar--Sokol,210,14.28185431569509,11.634752278347133,16.53352714175776,8.162786213760072,2.8401892876748533,-5.97297771097422,15.449159628511353,0.9976161544974275,---,6.0314499714877
classical,B,"2D \texttt{random} (uniform on $[0,G]^2$)\\ matched domain",b_random,210,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),210,7.70213553996923,6.393034421189782,8.815946160591226,15.601446449783275,12.520904992227582,-15.601446449783275,17.390961251184414,0.9784150178890026,-2.0888778242508628,27.307599986670496
