table,bucket,bucket_slug,bucket_count,model,display,N,SDPE_pct,SDPE_lo,SDPE_hi,MAPE_pct,MedAPE_pct,MSPE_pct,RMSPE_pct,R2,R2_alpha,time_ms
nd_by_size,"$[5,10]$",5_10,4229,GART_2.0,GART 2.0,4229,1.5588713385007404,1.4727669281022264,1.639575603457247,0.9873705978598821,0.6051899760577522,0.07885732438424198,1.5606805261812302,0.9999191701671674,0.9597162251315889,53.1560000381432
nd_by_size,"$[5,10]$",5_10,4229,MST_Ratio,Fixed MST scaling,4229,5.308866566203093,5.143514945055282,5.482171475703041,18.80006837207222,17.922879219492422,-18.80006837207222,19.535095867117494,0.9659731515251783,-4.849489704283073,5.2433000237215
nd_by_size,"$[5,10]$",5_10,4229,Hilbert,Custom Hilbert sort,4229,7.49129505076281,7.151318025822072,7.823880092625421,8.152505426321223,5.8964920838594885,8.152505225751506,11.071114344757511,0.9945221454921191,---,0.6724999984726
nd_by_size,"$[5,10]$",5_10,4229,Linear_V3,Linear (28-feature block),4229,6.237741255311675,6.138419901404196,6.336899003547768,5.651065021608009,4.801995223901798,-3.1961831899911077,7.008266713932951,0.9863150127341664,0.31342630263164384,40.6735000142362
nd_by_size,"$[5,10]$",5_10,4229,NN_V3,Neural net (30-feature block),4229,2.4092555516348404,2.3393232505044215,2.481050627811071,1.8841151724024698,1.4241177220557104,0.6157549788552811,2.486421918632362,0.9992349369000327,0.9088888923118628,180.8938000176567
nd_by_size,"$[5,10]$",5_10,4229,BHH,BHH,4229,5.508083455829246,5.367272553528236,5.648320402582974,59.473065931296325,58.86208620585906,-59.473065931296325,59.72752615496661,0.5472244085617386,---,0.198800000362
nd_by_size,"$[5,10]$",5_10,4229,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,4229,5.03301851903034,4.89146796391919,5.174268225227921,10.4175032450297,9.518684115616171,-10.416234391222723,11.568198840293025,0.9897272516970624,-1.1599978778502025,3.6529000499285
nd_by_size,"$[5,10]$",5_10,4229,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",4229,5.4170931805617,5.290789441664195,5.554002917277243,4.421665715003136,4.071086345319498,0.6798694010112288,5.458954291862534,0.9970669602637761,0.5337238169889873,3.7253000191412
nd_by_size,"$[5,10]$",5_10,4229,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),4229,6.048526796028611,5.862316683809024,6.24457758583626,19.78487723025782,18.676170808737403,-19.78487723025782,20.688581210751252,0.9649034244151632,-5.6326327433689505,3.9598000003024
nd_by_size,"$[5,10]$",5_10,4229,Asymptotic_MST,Asymptotic MST ratio,161,8.07454842261869,7.337950922841751,8.67492267004998,25.31978603251984,24.632544618467396,-25.31978603251984,26.568495222283968,0.907029850672263,-5.463419336573583,59.188900049775796
nd_by_size,"$[5,10]$",5_10,4229,BHH_region,BHH (sampling region),4229,11.226485599011697,10.282751240676397,12.101979945433447,33.486599703888146,33.68224597563398,-32.586905504636924,34.46607878712937,0.8453254653032414,---,0.13940001372240002
nd_by_size,"$[5,10]$",5_10,4229,LGBM_V4,GART 2.0 (32-feature variant),4229,1.5055411185490486,1.4295561302585604,1.5896232731149884,0.9722708128987703,0.6205163368511876,0.11051424229790106,1.509414283309961,0.9999195322457605,0.9627706840866108,21.2376999843399
nd_by_size,"$[5,10]$",5_10,4229,Interp_V3,Interpretable (same features),4229,5.372455680881128,5.287767565802468,5.460057095286732,4.586590294303527,2.2912310946955654,-3.4426779492419457,6.3803202444136184,0.9859805170016573,---,286.2758000010217
nd_by_size,"$[11,50]$",11_50,2820,GART_2.0,GART 2.0,2820,1.0333656508671245,0.9678525262333484,1.0982190536436085,0.6506503134539443,0.41021822816380804,0.09922655945749397,1.0379363228094214,0.9999727242454721,0.9462540858994285,78.35305001935916
nd_by_size,"$[11,50]$",11_50,2820,MST_Ratio,Fixed MST scaling,2820,2.9919716441690873,2.857114037149486,3.13211237212156,7.4647107066643645,6.921715344847918,-7.4647107066643645,8.041804885912846,0.9964857016403177,-1.94646684952802,26.267150009516598
nd_by_size,"$[11,50]$",11_50,2820,Hilbert,Custom Hilbert sort,2820,12.412893279696098,11.94282822435378,12.854348523040537,19.589681371378795,15.81144029653824,19.589681371378795,23.190103439526048,0.9807233930338027,---,15.921149999485303
nd_by_size,"$[11,50]$",11_50,2820,Linear_V3,Linear (28-feature block),2820,3.1658689868227445,3.1041997942935238,3.226727673188337,2.8477786857090712,2.0523408219440102,-1.8304704591215715,3.656472943306177,0.9973466344385544,0.4491044053060017,58.962650000466894
nd_by_size,"$[11,50]$",11_50,2820,NN_V3,Neural net (30-feature block),2820,3.434553209388133,3.3575495448872825,3.5077326697609164,2.587509300571844,1.2007800212564312,1.8700976017992255,3.9101454901857937,0.9983428771060006,0.38983143887973415,198.25759998639109
nd_by_size,"$[11,50]$",11_50,2820,BHH,BHH,2820,5.552297901853167,5.2765688733199205,5.8323230618195,41.38120098088406,41.80194978480363,-41.38085948510168,41.751558196042296,0.7711472343491484,---,0.31555001623925
