table,bucket,bucket_slug,bucket_count,model,display,N,spearman_rho,kendall_tau,pair_mode,pair_seed,pair_draws,pair_universe,close5_pairs,close5_pct,close10_pairs,close10_pct
rank,2D,2d,2580,GART_2.0,GART 2.0,2580,0.9994411043331177,0.9827311228737777,exhaustive,n/a,n/a,2580,74826,74.47945901157351,152306,83.56335272412117
rank,2D,2d,2580,GART,GART 1.0,2580,0.9985134067024025,0.9712892744318302,exhaustive,n/a,n/a,2580,74826,69.13773287360009,152306,76.7113573989206
rank,2D,2d,2580,MST_Ratio,Fixed MST scaling,2580,0.9961004734465042,0.9615216522238353,exhaustive,n/a,n/a,2580,74826,71.04348755780077,152306,77.75990440297822
rank,2D,2d,2580,Hilbert,Custom Hilbert sort,2580,0.9972126328504383,0.9598269866031844,exhaustive,n/a,n/a,2580,74826,64.20762836447224,152306,72.06150775412657
rank,2D,2d,2580,Linear_V3,Linear (28-feature block),2580,0.9986709882388152,0.9738694464232577,exhaustive,n/a,n/a,2580,74826,68.4280864939994,152306,78.49198324425826
rank,2D,2d,2580,NN_V3,Neural net (30-feature block),2580,0.9994246361789926,0.98204399878566,exhaustive,n/a,n/a,2580,74826,73.16440809344346,152306,82.48985594789437
rank,2D,2d,2580,BHH,BHH,2580,0.9739083046428377,0.8868168961588981,exhaustive,n/a,n/a,2580,74826,58.90599524229546,152306,65.70785129935787
rank,2D,2d,2580,Cavdar,Cavdar--Sokol,2580,0.9787639512064275,0.8984757627949058,exhaustive,n/a,n/a,2580,74826,58.82313634298239,152306,65.55552637453548
rank,2D,2d,2580,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,2580,0.9961004734465042,0.9615216522238353,exhaustive,n/a,n/a,2580,74826,71.04348755780077,152306,77.75990440297822
rank,2D,2d,2580,Calibrated_MST_dn,"Calibrated MST ratio $\hat\rho(d,n)$",2580,0.9978893735046498,0.9664451397843645,exhaustive,n/a,n/a,2580,74826,68.86376393232298,152306,76.06594618728086
rank,2D,2d,2580,MST_Only,$L_{\mathrm{MST}}$ ($\alpha=1$),2580,0.9961004734465042,0.9615216522238353,exhaustive,n/a,n/a,2580,74826,71.04348755780077,152306,77.75990440297822
rank,2D,2d,2580,Asymptotic_MST,Asymptotic MST ratio,2580,0.9961004734465042,0.9615216522238353,exhaustive,n/a,n/a,2580,74826,71.04348755780077,152306,77.75990440297822
rank,2D,2d,2580,BHH_region,BHH (sampling region),2580,0.9723937092034576,0.8738511758000816,exhaustive,n/a,n/a,2580,74826,45.069895490872156,152306,49.28499205546728
rank,2D,2d,2580,LGBM_V4,GART 2.0 (32-feature variant),2580,0.9995472312728962,0.9841197988523886,exhaustive,n/a,n/a,2580,74826,75.01937829096838,152306,84.27639094979843
rank,2D,2d,2580,Interp_V3,Interpretable (same features),2580,0.9993561013227082,0.9815744940500344,exhaustive,n/a,n/a,2580,74826,73.33547162750915,152306,82.90874949115596
rank,Multidimensional,nd,16846,GART_2.0,GART 2.0,16846,0.9999932656402108,0.9982077793961022,exhaustive,n/a,n/a,16846,1647719,92.41144879679119,3262149,96.10569596912956
rank,Multidimensional,nd,16846,MST_Ratio,Fixed MST scaling,16846,0.9996309098254244,0.986535221180384,exhaustive,n/a,n/a,16846,1647719,71.74609262865816,3262149,77.56019115006703
rank,Multidimensional,nd,16846,Hilbert,Custom Hilbert sort,16846,0.9989070358046057,0.9725996750307716,exhaustive,n/a,n/a,16846,1647719,58.53461664276494,3262149,64.30770023073747
rank,Multidimensional,nd,16846,Linear_V3,Linear (28-feature block),16846,0.9998729615027271,0.9919105156917621,exhaustive,n/a,n/a,16846,1647719,74.29804475156261,3262149,83.26063585691517
rank,Multidimensional,nd,16846,NN_V3,Neural net (30-feature block),16846,0.999969089603686,0.9963359875522106,exhaustive,n/a,n/a,16846,1647719,86.01976429233382,3262149,92.0449065937822
rank,Multidimensional,nd,16846,BHH,BHH,16846,0.9957559668972742,0.9481080915740222,exhaustive,n/a,n/a,16846,1647719,54.15620017733607,3262149,58.14099846450913
rank,Multidimensional,nd,16846,Calibrated_MST_d,Calibrated MST ratio $\hat\rho(d)$,16846,0.9996155322909868,0.9862584203938903,exhaustive,n/a,n/a,16846,1647719,72.52177100585719,3262149,77.54452662953165
